team,logo_path,path_to_folder
Argentina,argentina-2022-2024-logo.png,/LogoImages/International
France,france-2018-2024-logo.png,/LogoImages/International
Spain,Spain_national_football_team_crest.svg.png,/LogoImages/International
England,England_national_football_team_crest.svg.png,/LogoImages/International
Brazil,Brazilian_Football_Confederation_logo.svg.png,/LogoImages/International
Portugal,portugal-1966-logo.png,/LogoImages/International
Netherlands,Netherlands_national_football_team_logo.svg.png,/LogoImages/International
Belgium,Royal_Belgian_FA_logo_2019.svg.png,/LogoImages/International
Italy,Logo_Italy_National_Football_Team_-_2023.svg.png,/LogoImages/International
Germany,DFBEagle.svg.png,/LogoImages/International
Uruguay,Uruguay_national_football_team_seal.svg.png,/LogoImages/International
Colombia,Colombia-Logo-2023.svg.png,/LogoImages/International
Croatia,croatia-2014-logo.png,/LogoImages/International
Morocco,Royal_Moroccan_Football_Federation_logo.svg.png,/LogoImages/International
Japan,Japan_national_football_team_crest.svg.png,/LogoImages/International
United States,United_States_Soccer_Federation_logo_2016.svg.png,/LogoImages/International
Senegal,Senegalese_Football_Federation_logo.svg.png,/LogoImages/International
IR Iran,Iranian_football_badge.svg.png,/LogoImages/International
Mexico,Mexico_national_football_team_crest.svg.png,/LogoImages/International
Switzerland,switzerland-2010-logo.png,/LogoImages/International
