team,logo_path,path_to_folder
Arsenal,arsenal-fc-2002-logo.png,/LogoImages/PremierLeague
Aston Villa,aston-villa-2016-2023-logo.png,/LogoImages/PremierLeague
Bournemouth,afc-bournemouth-2013-logo.png,/LogoImages/PremierLeague
Brentford,brentford-fc-2017-logo.png,/LogoImages/PremierLeague
Brighton,brighton-hove-albion-2011-logo.png,/LogoImages/PremierLeague
Burnley ,burnley-fc-2023-logo.png,/LogoImages/PremierLeague
Chelsea,chelsea-fc-2006-logo.png,/LogoImages/PremierLeague
Crystal Palace,crystal-palace-2022-logo.png,/LogoImages/PremierLeague
Everton,everton-fc-2014-logo.png,/LogoImages/PremierLeague
Fulham,fulham-fc-2001-logo.png,/LogoImages/PremierLeague
Ipswich Town,ipswich-town-1995-logo.png,/LogoImages/PremierLeague
Leeds United,Leeds_United_F.C._logo.png,/LogoImages/PremierLeague
Leicester City,leicester-city-2010-logo.png,/LogoImages/PremierLeague
Liverpool,liverpool-fc-2012-logo.png,/LogoImages/PremierLeague
Manchester City,manchester-city-2016-logo.png,/LogoImages/PremierLeague
Manchester United,manchester-united-1998-logo.png,/LogoImages/PremierLeague
Newcastle United,newcastle-united-1988-logo.png,/LogoImages/PremierLeague
Nott'ham Forest,nottingham-forest-2010-logo.png,/LogoImages/PremierLeague
Southampton,southampton-fc-2011-logo.png,/LogoImages/PremierLeague
Tottenham,tottenham-hotspur-2006-logo.png,/LogoImages/PremierLeague
West Ham,west-ham-united-2016-logo.png,/LogoImages/PremierLeague
Wolverhampton Wanderers,wolverhampton-wanderers-2002-logo.png,/LogoImages/PremierLeague
