team,logo_path,path_to_folder
AVS Futebol SAD,Aves-Futbol-SAD.png,/LogoImages/PrimeiraLiga
Boavista FC,Boavista-FC.png,/LogoImages/PrimeiraLiga
Casa Pia AC,Casa-Pia-AC.png,/LogoImages/PrimeiraLiga
CD Nacional Madeira,CD-Nacional-Madeira.png,/LogoImages/PrimeiraLiga
CD Santa Clara,CD-Santa-Clara.png,/LogoImages/PrimeiraLiga
Clube de Futebol Estrela Amadora,Clube-de-Futebol-Estrela-Amadora.png,/LogoImages/PrimeiraLiga
FC Arouca,FC-Arouca.png,/LogoImages/PrimeiraLiga
FC Famalicão,FC-Famalicao.png,/LogoImages/PrimeiraLiga
FC Porto,FC-Porto.png,/LogoImages/PrimeiraLiga
GD Estoril Praia,GD-Estoril-Praia.png,/LogoImages/PrimeiraLiga
Gil Vicente FC,Gil-Vicente-FC.png,/LogoImages/PrimeiraLiga
Moreirense FC,Moreirense-FC.png,/LogoImages/PrimeiraLiga
Rio Ave FC,Rio-Ave-FC.png,/LogoImages/PrimeiraLiga
SC Farense,SC-Farense.png,/LogoImages/PrimeiraLiga
SL Benfica,SL-Benfica.png,/LogoImages/PrimeiraLiga
Sporting Clube de Braga,Sporting-Clube-de-Braga.png,/LogoImages/PrimeiraLiga
Sporting Clube de Portugal,Sporting-Clube-de-Portugal.png,/LogoImages/PrimeiraLiga
Vitoria Guimaräes,Vitoria-Guimaraes.png,/LogoImages/PrimeiraLiga
