rank,Player,nation,position,squad,age,born_in,matches_played,minuted_played,90s,goals,assists,yellow_cards,red_cards,goals_per_90,assists_per_90
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,21,2000,36,"2,372",26.4,1,3,2,0,0.04,0.11
2,George Abbott,eng ENG,MF,Tottenham,16,2005,1,1,0,0,0,0,0,0,0
3,Che Adams,sct SCO,FW,Southampton,26,1996,28,"1,992",22.1,5,3,1,0,0.23,0.14
4,Tyler Adams,us USA,MF,Leeds United,23,1999,24,"2,156",24,0,0,6,1,0,0
5,Tosin Adarabioyo,eng ENG,DF,Fulham,24,1997,25,"2,085",23.2,1,0,4,0,0.04,0
6,Nayef Aguerd,ma MAR,DF,West Ham,26,1996,18,"1,595",17.7,2,0,4,0,0.11,0
7,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,20,2002,8,94,1,0,0,1,0,0,0
8,Rayan Aït-Nouri,dz ALG,DF,Wolves,21,2001,21,"1,076",12,1,0,4,0,0.08,0
9,Kristoffer Ajer,no NOR,DF,Brentford,24,1998,9,763,8.5,0,0,0,0,0,0
10,Manuel Akanji,ch SUI,DF,Manchester City,27,1995,29,"2,287",25.4,0,1,2,0,0,0.04
11,Nathan Aké,nl NED,DF,Manchester City,27,1995,26,"1,873",20.8,1,0,2,0,0.05,0
12,Marc Albrighton,eng ENG,"FW,MF",Leicester City,32,1989,6,237,2.6,1,0,0,0,0.38,0
13,Thiago Alcántara,es ESP,MF,Liverpool,31,1991,18,"1,254",13.9,0,0,2,0,0,0
14,Carlos Alcaraz,ar ARG,"MF,FW",Southampton,19,2002,18,"1,029",11.4,4,2,3,0,0.35,0.17
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23,1998,37,"2,923",32.5,2,9,5,0,0.06,0.28
16,Alisson,br BRA,GK,Liverpool,29,1992,37,"3,330",37,0,1,1,0,0,0.03
17,Dele Alli,eng ENG,MF,Everton,26,1996,2,40,0.4,0,0,0,0,0,0
18,Miguel Almirón,py PAR,FW,Newcastle Utd,28,1994,34,"2,491",27.7,11,2,2,0,0.4,0.07
19,Julián Álvarez,ar ARG,"FW,MF",Manchester City,22,2000,31,"1,465",16.3,9,0,0,0,0.55,0
20,Daniel Amartey,gh GHA,DF,Leicester City,27,1994,20,"1,610",17.9,0,0,1,0,0,0
21,Samuel Amo-Ameyaw,eng ENG,MF,Southampton,16,2006,1,4,0,0,0,0,0,0,0
22,Joachim Andersen,dk DEN,DF,Crystal Palace,26,1996,32,"2,782",30.9,1,0,8,0,0.03,0
23,Elliot Anderson,eng ENG,"MF,FW",Newcastle Utd,19,2002,22,410,4.6,0,1,0,0,0,0.22
24,Jaidon Anthony,eng ENG,"MF,FW",Bournemouth,22,1999,30,"1,257",14,3,1,2,0,0.21,0.07
25,Michail Antonio,jm JAM,FW,West Ham,32,1990,33,"1,829",20.3,5,3,2,0,0.25,0.15
26,Antony,br BRA,FW,Manchester Utd,22,2000,25,"1,802",20,4,2,5,0,0.2,0.1
27,Cameron Archer,eng ENG,"FW,MF",Aston Villa,21,2001,6,49,0.5,0,0,0,0,0,0
28,Alphonse Areola,fr FRA,GK,West Ham,29,1993,5,309,3.4,0,0,0,0,0,0
29,Joe Aribo,ng NGA,"MF,FW",Southampton,26,1996,21,"1,224",13.6,2,0,2,0,0.15,0
30,Adam Armstrong,eng ENG,"FW,MF",Southampton,25,1997,30,"1,335",14.8,2,1,2,0,0.13,0.07
31,Stuart Armstrong,sct SCO,"MF,FW",Southampton,30,1992,32,"1,408",15.6,2,1,6,0,0.13,0.06
32,Kepa Arrizabalaga,es ESP,GK,Chelsea,27,1994,29,"2,565",28.5,0,0,1,0,0,0
33,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33,1989,15,554,6.2,1,0,1,0,0.16,0
34,Ludwig Augustinsson,se SWE,DF,Aston Villa,28,1994,3,77,0.9,0,0,1,0,0,0
35,Serge Aurier,ci CIV,DF,Nott'ham Forest,29,1992,24,"1,943",21.6,1,0,2,0,0.05,0
36,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,24,1997,27,"1,404",15.6,10,1,2,0,0.64,0.06
37,Yasin Ayari,se SWE,MF,Brighton,18,2003,3,67,0.7,0,0,0,0,0,0
38,André Ayew,gh GHA,"FW,MF",Nott'ham Forest,32,1989,13,316,3.5,0,0,1,0,0,0
39,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,30,1991,38,"2,714",30.2,4,3,5,0,0.13,0.1
40,Luke Ayling,eng ENG,DF,Leeds United,30,1991,29,"2,054",22.8,2,1,3,0,0.09,0.04
41,César Azpilicueta,es ESP,DF,Chelsea,32,1989,25,"1,527",17,0,0,3,0,0,0
42,Benoît Badiashile,fr FRA,DF,Chelsea,21,2001,11,905,10.1,1,0,2,0,0.1,0
43,Leon Bailey,jm JAM,"FW,MF",Aston Villa,24,1997,33,"1,967",21.9,4,4,4,0,0.18,0.18
44,Stefan Bajcetic,es ESP,MF,Liverpool,17,2004,11,526,5.8,1,0,2,0,0.17,0
45,Dominic Ballard,eng ENG,"FW,MF",Southampton,17,2005,2,26,0.3,0,0,0,0,0,0
46,Patrick Bamford,eng ENG,FW,Leeds United,28,1993,28,"1,515",16.8,4,2,3,0,0.24,0.12
47,Shandon Baptiste,gd GRN,MF,Brentford,24,1998,23,618,6.9,0,1,3,1,0,0.15
48,Harvey Barnes,eng ENG,"FW,MF",Leicester City,24,1997,34,"2,711",30.1,13,1,3,0,0.43,0.03
49,Gavin Bazunu,ie IRL,GK,Southampton,20,2002,32,"2,880",32,0,0,0,0,0,0
50,Mads Bech Sørensen,dk DEN,"DF,MF",Brentford,23,1999,4,21,0.2,0,0,0,0,0,0
51,Jan Bednarek,pl POL,DF,Southampton,26,1996,20,"1,672",18.6,0,0,5,0,0,0
52,Jan Bednarek,pl POL,DF,Aston Villa,26,1996,3,100,1.1,0,0,0,0,0,0
53,Donny van de Beek,nl NED,MF,Manchester Utd,25,1997,7,167,1.9,0,0,0,0,0,0
54,Asmir Begović,ba BIH,GK,Everton,35,1987,1,90,1,0,0,0,0,0,0
55,Armel Bella Kotchap,de GER,DF,Southampton,20,2001,24,"1,879",20.9,0,2,4,0,0,0.1
56,Saïd Benrahma,dz ALG,"FW,MF",West Ham,26,1995,35,"2,069",23,6,3,0,0,0.26,0.13
57,Rodrigo Bentancur,uy URU,MF,Tottenham,25,1997,18,"1,500",16.7,5,2,8,0,0.3,0.12
58,Daniel Bentley,eng ENG,GK,Wolves,29,1993,2,180,2,0,0,0,0,0,0
59,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,19,2002,12,892,9.9,0,1,2,0,0,0.1
60,Owen Bevan,wls WAL,DF,Bournemouth,18,2003,1,9,0.1,0,0,0,0,0,0
61,Giulian Biancone,fr FRA,DF,Nott'ham Forest,22,2000,2,17,0.2,0,0,0,0,0,0
62,Philip Billing,dk DEN,"MF,FW",Bournemouth,26,1996,36,"2,764",30.7,7,1,5,0,0.23,0.03
63,Yves Bissouma,ml MLI,MF,Tottenham,25,1996,23,"1,010",11.2,0,0,6,0,0,0
64,Willy Boly,ci CIV,DF,Nott'ham Forest,31,1991,11,685,7.6,0,1,2,0,0,0.13
65,Sven Botman,nl NED,DF,Newcastle Utd,22,2000,36,"3,127",34.7,0,0,2,0,0,0
66,Jarrod Bowen,eng ENG,"FW,MF",West Ham,25,1996,38,"3,233",35.9,6,5,2,0,0.17,0.14
67,James Bree,eng ENG,DF,Southampton,24,1997,5,367,4.1,0,0,1,0,0,0
68,Armando Broja,al ALB,FW,Chelsea,20,2001,12,294,3.3,1,0,0,0,0.31,0
69,David Brooks,wls WAL,"FW,MF",Bournemouth,25,1997,6,173,1.9,0,0,1,0,0,0
70,Lewis Brunt,eng ENG,DF,Leicester City,21,2000,1,23,0.3,0,0,0,0,0,0
71,Emi Buendía,ar ARG,"MF,FW",Aston Villa,25,1996,38,"2,412",26.8,5,2,0,0,0.19,0.07
72,Hugo Bueno,es ESP,DF,Wolves,19,2002,21,"1,310",14.6,0,1,1,0,0,0.07
73,Facundo Buonanotte,ar ARG,"FW,MF",Brighton,17,2004,13,565,6.3,1,1,2,0,0.16,0.16
74,Dan Burn,eng ENG,DF,Newcastle Utd,30,1992,38,"3,111",34.6,1,0,5,0,0.03,0
75,Cafú,pt POR,MF,Nott'ham Forest,29,1993,1,7,0.1,0,0,0,0,0,0
