squad,number_of_players,average_age,possesion,goals,assists,goals+assists,yellow_cards,red_cards
Arouca,29,26,47.9,36,23,59,79,4
Benfica,32,26,63.2,78,51,129,65,3
Boavista,30,27.1,48.4,43,35,78,107,7
Braga,31,26.4,54.3,72,50,122,87,6
Casa Pia,31,28.3,42,29,20,49,99,6
Chaves,31,27.5,46.3,34,17,51,110,10
Estoril,33,24.6,47.6,33,26,59,99,5
Famalicão,33,24,47.1,37,31,68,86,7
Gil Vicente FC,32,25.9,53.7,31,19,50,81,2
Marítimo,39,26.7,48.4,31,21,52,107,10
Paços,36,26.6,46.5,25,17,42,111,10
Portimonense,35,25.8,48.9,25,15,40,99,4
Porto,28,27.5,58.4,71,49,120,77,5
Rio Ave,30,26.9,48.6,35,29,64,92,6
Santa Clara,34,25,42.4,26,18,44,114,7
Sporting CP,32,25.8,63.1,66,51,117,88,3
Vitória,34,24.3,47.8,34,25,59,118,10
Vizela,30,25.8,45.5,30,24,54,102,5
